Supplementary Table 12. Country-specific cumulative absolute risk for PGS strata across 19 phenotypes.,,,,,,,,,,,,
,,,,,,,,,,,,
Phenotype,Country,Sex,Study,Optimal Model,PGS Strata,Age,"Cumulative Absolute Risk 
(%)","Cumulative Absolute Risk  
Lower Confidence Interval
(%)","Cumulative Absolute Risk  
Upper Confidence Interval
(%)",,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,20,0.15,0.04,0.44,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,25,0.25,0.09,0.58,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,30,0.48,0.21,0.95,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,35,1.18,0.59,2.17,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,40,2.52,1.39,4.57,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,45,4.39,2.45,7.33,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,50,6.68,3.97,10.78,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,55,9.82,6.35,15.05,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,60,14.10,9.87,19.76,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,65,18.14,13.37,23.64,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,70,20.98,16.40,26.44,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,75,22.63,18.12,27.95,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,80,23.14,18.74,28.49,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,20,0.17,0.06,0.29,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,25,0.29,0.12,0.43,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,30,0.55,0.29,0.76,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,35,1.35,0.87,1.73,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,40,2.88,1.98,3.60,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,45,5.01,3.57,5.97,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,50,7.61,5.60,9.05,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,55,11.31,8.74,12.89,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,60,16.64,13.24,18.56,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,65,21.94,18.39,24.28,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,70,25.84,22.32,28.14,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,75,28.22,24.60,30.39,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,40-60%,80,28.98,25.42,31.09,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,20,0.34,0.10,0.69,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,25,0.57,0.22,0.97,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,30,1.08,0.54,1.73,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,35,2.66,1.44,4.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,40,5.61,3.30,8.32,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,45,9.65,5.96,13.49,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,50,14.46,9.73,19.28,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,55,20.78,15.13,26.70,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,60,28.87,21.56,35.15,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,65,36.00,28.27,42.43,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,70,40.68,33.36,46.56,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,75,43.25,36.24,49.08,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,60-80%,80,44.05,37.15,49.56,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,20,0.46,0.13,1.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,25,0.76,0.29,1.47,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,30,1.46,0.70,2.56,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,35,3.58,1.87,5.86,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,40,7.52,4.37,12.30,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,45,12.82,7.97,19.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,50,19.03,12.92,26.84,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,55,27.03,18.92,35.11,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,60,36.97,28.03,45.48,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,65,45.38,36.86,53.80,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,70,50.72,42.48,58.43,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,75,53.59,46.17,60.72,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,80-90%,80,54.46,46.96,61.47,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,20,0.54,0.14,1.45,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,25,0.90,0.31,2.04,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,30,1.71,0.72,3.50,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,35,4.20,2.11,8.29,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,40,8.79,4.80,15.81,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,45,14.92,9.07,24.95,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,50,22.01,13.84,35.48,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,55,30.93,20.69,45.26,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,60,41.66,31.30,54.85,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,65,50.43,40.66,62.18,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,70,55.82,47.21,66.25,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,75,58.65,50.36,68.42,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,90-95%,80,59.50,51.46,69.02,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,20,0.79,0.22,1.94,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,25,1.30,0.46,2.69,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,30,2.48,1.18,4.48,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,35,6.04,3.10,10.21,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,40,12.49,7.19,20.47,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,45,20.87,12.76,30.72,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,50,30.22,19.87,42.57,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,55,41.20,29.05,53.20,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,60,53.22,40.72,65.13,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,65,62.10,51.41,72.25,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,70,67.10,58.06,75.78,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,75,69.55,61.06,77.44,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,> 95%,80,70.26,61.87,78.01,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,20,0.12,0.02,0.34,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,25,0.21,0.08,0.54,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,30,0.40,0.19,0.83,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,35,0.76,0.38,1.60,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,40,1.29,0.69,2.66,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,45,2.01,1.17,4.01,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,50,2.91,1.79,5.21,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,55,4.14,2.70,6.70,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,60,5.80,4.04,8.81,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,65,7.29,5.28,10.45,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,70,8.22,6.17,11.45,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,75,8.70,6.61,11.96,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,< 20%,80,8.87,6.75,12.11,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,20,0.16,0.04,0.40,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,25,0.31,0.11,0.61,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,30,0.57,0.27,1.06,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,35,1.08,0.59,2.02,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,40,1.83,1.01,3.30,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,45,2.85,1.67,4.87,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,50,4.16,2.57,6.73,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,55,6.17,4.05,9.63,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,60,9.24,6.60,13.15,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,65,12.34,9.41,16.70,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,70,14.51,11.44,19.30,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,75,15.79,12.63,20.50,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,20-40%,80,16.25,13.18,21.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,20,0.32,0.13,0.49,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,25,0.59,0.30,0.81,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,30,1.09,0.66,1.40,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,35,2.07,1.40,2.54,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,40,3.50,2.46,4.22,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,45,5.42,3.92,6.35,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,50,7.82,5.89,8.96,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,55,11.15,8.70,12.36,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,60,15.70,12.78,17.40,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,65,19.82,16.93,21.51,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,70,22.41,19.33,24.09,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,75,23.80,20.70,25.59,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,40-60%,80,24.28,21.14,25.99,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,20,0.39,0.13,0.78,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,25,0.73,0.33,1.25,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,30,1.35,0.71,2.09,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,35,2.57,1.54,3.74,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,40,4.33,2.74,6.24,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,45,6.68,4.50,9.09,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,50,9.64,6.50,12.64,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,55,13.96,10.13,17.71,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,60,20.11,15.40,24.33,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,65,25.86,20.87,30.25,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,70,29.62,24.48,33.86,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,75,31.72,26.84,35.98,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,60-80%,80,32.45,27.48,36.73,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,20,0.46,0.13,1.05,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,25,0.85,0.37,1.65,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,30,1.58,0.83,2.72,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,35,3.00,1.68,4.92,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,40,5.05,2.99,7.87,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,45,7.78,4.87,11.66,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,50,11.21,7.07,15.95,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,55,16.26,11.08,22.11,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,60,23.50,17.64,30.63,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,65,30.27,23.70,36.77,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,70,34.70,28.02,41.39,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,75,37.19,30.46,43.90,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,80-90%,80,38.06,31.31,44.83,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,20,0.51,0.13,1.42,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,25,0.94,0.33,2.28,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,30,1.74,0.74,3.80,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,35,3.30,1.64,6.85,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,40,5.55,2.96,11.03,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,45,8.54,5.11,15.23,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,50,12.29,7.57,20.42,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,55,17.89,12.60,27.04,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,60,25.98,19.43,36.66,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,65,33.58,26.91,43.47,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,70,38.56,31.91,48.81,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,75,41.38,34.83,50.99,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,90-95%,80,42.37,35.83,51.89,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,20,1.06,0.29,2.43,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,25,1.96,0.75,3.72,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,30,3.62,1.87,6.23,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,35,6.79,3.85,10.91,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,40,11.27,6.69,17.02,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,45,17.04,10.72,24.27,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,50,23.89,15.97,32.89,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,55,32.83,23.51,42.12,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,60,43.92,34.46,53.75,,,
